component_id,component_size,outer_fold,record_ids,datasets,exact_claim_hash_collision,exact_source_hash_collision,construction_rule
pair_component_0017,22,4,medfact_bench_1050;medfact_bench_1051;medfact_bench_1052;medfact_bench_1053;medfact_bench_1054;medfact_bench_1055;medfact_bench_1056;medfact_bench_1057;medfact_bench_1058;medfact_bench_1094;medfact_bench_1095;medfact_bench_1096;medfact_bench_1097;medfact_bench_1188;medfact_bench_1189;medfact_bench_1190;medfact_bench_1191;medfact_bench_1192;medfact_bench_1193;medfact_bench_1194;medfact_bench_1195;medfact_bench_1196,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0018,2,3,medfact_bench_110;medfact_bench_111,scifact,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0019,22,3,medfact_bench_1013;medfact_bench_1014;medfact_bench_1015;medfact_bench_1064;medfact_bench_1065;medfact_bench_1066;medfact_bench_1067;medfact_bench_1068;medfact_bench_1069;medfact_bench_1070;medfact_bench_1135;medfact_bench_1138;medfact_bench_1139;medfact_bench_1150;medfact_bench_1151;medfact_bench_1152;medfact_bench_1153;medfact_bench_1154;medfact_bench_1155;medfact_bench_425;medfact_bench_426;medfact_bench_427,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0020,23,3,medfact_bench_1007;medfact_bench_1008;medfact_bench_1009;medfact_bench_1010;medfact_bench_1011;medfact_bench_1012;medfact_bench_1098;medfact_bench_1099;medfact_bench_1100;medfact_bench_1101;medfact_bench_1102;medfact_bench_1103;medfact_bench_1176;medfact_bench_1177;medfact_bench_1178;medfact_bench_1179;medfact_bench_1180;medfact_bench_1181;medfact_bench_1212;medfact_bench_1213;medfact_bench_1214;medfact_bench_1215;medfact_bench_1216,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0021,2,1,medfact_bench_100;medfact_bench_101,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0022,6,2,medfact_bench_1021;medfact_bench_1022;medfact_bench_1023;medfact_bench_1024;medfact_bench_1025;medfact_bench_1026,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0023,1,3,medfact_bench_103,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0024,4,4,medfact_bench_1037;medfact_bench_1038;medfact_bench_1039;medfact_bench_349,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0025,4,3,medfact_bench_1042;medfact_bench_1043;medfact_bench_1044;medfact_bench_1045,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0026,1,3,medfact_bench_106,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0027,2,2,medfact_bench_107;medfact_bench_108,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0028,2,1,medfact_bench_1108;medfact_bench_1109,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0029,1,1,medfact_bench_113,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0030,2,0,medfact_bench_1129;medfact_bench_1130,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0031,12,0,medfact_bench_1046;medfact_bench_1047;medfact_bench_1048;medfact_bench_1049;medfact_bench_1131;medfact_bench_1132;medfact_bench_1133;medfact_bench_1134;medfact_bench_1239;medfact_bench_1240;medfact_bench_1241;medfact_bench_1242,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0032,1,2,medfact_bench_112,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0033,2,3,medfact_bench_1136;medfact_bench_1137,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0034,17,2,medfact_bench_1082;medfact_bench_1083;medfact_bench_1084;medfact_bench_1085;medfact_bench_1086;medfact_bench_1087;medfact_bench_1144;medfact_bench_1145;medfact_bench_1146;medfact_bench_1147;medfact_bench_1148;medfact_bench_1149;medfact_bench_1171;medfact_bench_1172;medfact_bench_1173;medfact_bench_1174;medfact_bench_1175,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0035,1,1,medfact_bench_115,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0036,8,2,medfact_bench_1040;medfact_bench_1041;medfact_bench_1182;medfact_bench_1183;medfact_bench_1184;medfact_bench_1185;medfact_bench_1186;medfact_bench_1187,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0037,3,2,medfact_bench_1168;medfact_bench_1169;medfact_bench_1170,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0038,1,2,medfact_bench_119,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0039,1,2,medfact_bench_12,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0040,1,3,medfact_bench_121,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0041,12,3,medfact_bench_1200;medfact_bench_1201;medfact_bench_1202;medfact_bench_1209;medfact_bench_1210;medfact_bench_1211;medfact_bench_366;medfact_bench_519;medfact_bench_520;medfact_bench_535;medfact_bench_536;medfact_bench_537,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0042,1,4,medfact_bench_143,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0043,1,2,medfact_bench_150,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0044,1,0,medfact_bench_164,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0045,1,2,medfact_bench_168,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0046,1,3,medfact_bench_174,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0047,1,2,medfact_bench_182,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0048,1,1,medfact_bench_185,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0049,1,2,medfact_bench_189,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0050,2,4,medfact_bench_1865;medfact_bench_1890,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0051,1,1,medfact_bench_114,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0052,2,1,medfact_bench_1156;medfact_bench_1157,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0053,1,1,medfact_bench_116,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0054,1,0,medfact_bench_117,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0055,1,0,medfact_bench_118,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0056,1,4,medfact_bench_120,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0057,1,4,medfact_bench_122,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0058,14,4,medfact_bench_1000;medfact_bench_1001;medfact_bench_1002;medfact_bench_1003;medfact_bench_1004;medfact_bench_1005;medfact_bench_1006;medfact_bench_1232;medfact_bench_1233;medfact_bench_1234;medfact_bench_1235;medfact_bench_1236;medfact_bench_1237;medfact_bench_1238,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0059,1,3,medfact_bench_125,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0060,1,4,medfact_bench_129,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0061,3,4,medfact_bench_1303;medfact_bench_1304;medfact_bench_1305,medaesqa,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0062,1,4,medfact_bench_1336,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0063,1,1,medfact_bench_134,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0064,1,4,medfact_bench_136,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0065,1,0,medfact_bench_137,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0066,16,1,medfact_bench_1027;medfact_bench_1028;medfact_bench_1029;medfact_bench_1030;medfact_bench_1203;medfact_bench_1204;medfact_bench_1205;medfact_bench_1206;medfact_bench_1217;medfact_bench_1218;medfact_bench_1219;medfact_bench_1220;medfact_bench_1221;medfact_bench_1222;medfact_bench_1223;medfact_bench_419,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0067,1,3,medfact_bench_123,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0068,1,2,medfact_bench_124,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0069,94,0,medfact_bench_1243;medfact_bench_1244;medfact_bench_1245;medfact_bench_1246;medfact_bench_1247;medfact_bench_1248;medfact_bench_1249;medfact_bench_1250;medfact_bench_1251;medfact_bench_1252;medfact_bench_1253;medfact_bench_1254;medfact_bench_1255;medfact_bench_1256;medfact_bench_1257;medfact_bench_1258;medfact_bench_1275;medfact_bench_1276;medfact_bench_1277;medfact_bench_1278;medfact_bench_1279;medfact_bench_1280;medfact_bench_1281;medfact_bench_1282;medfact_bench_1283;medfact_bench_1286;medfact_bench_1287;medfact_bench_1288;medfact_bench_1289;medfact_bench_1290;medfact_bench_1291;medfact_bench_1292;medfact_bench_1293;medfact_bench_1294;medfact_bench_1295;medfact_bench_1296;medfact_bench_1297;medfact_bench_1298;medfact_bench_1299;medfact_bench_1300;medfact_bench_1301;medfact_bench_1302;medfact_bench_1306;medfact_bench_1307;medfact_bench_1308;medfact_bench_1309;medfact_bench_1310;medfact_bench_1311;medfact_bench_1312;medfact_bench_1313;medfact_bench_1314;medfact_bench_1315;medfact_bench_1316;medfact_bench_1317;medfact_bench_1318;medfact_bench_1319;medfact_bench_1320;medfact_bench_1322;medfact_bench_1323;medfact_bench_1324;medfact_bench_1325;medfact_bench_1326;medfact_bench_1327;medfact_bench_1328;medfact_bench_1331;medfact_bench_1334;medfact_bench_1343;medfact_bench_1348;medfact_bench_1361;medfact_bench_1366;medfact_bench_1372;medfact_bench_1383;medfact_bench_1387;medfact_bench_1394;medfact_bench_1417;medfact_bench_1418;medfact_bench_1421;medfact_bench_1430;medfact_bench_1442;medfact_bench_1457;medfact_bench_1469;medfact_bench_1470;medfact_bench_1471;medfact_bench_1475;medfact_bench_1500;medfact_bench_1510;medfact_bench_1512;medfact_bench_1527;medfact_bench_1528;medfact_bench_1532;medfact_bench_1533;medfact_bench_1545;medfact_bench_1547;medfact_bench_1548,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0070,1,1,medfact_bench_126,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0071,4,4,medfact_bench_1262;medfact_bench_1263;medfact_bench_1264;medfact_bench_1265,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0072,3,3,medfact_bench_1266;medfact_bench_1267;medfact_bench_1268,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0073,7,3,medfact_bench_1259;medfact_bench_1260;medfact_bench_1261;medfact_bench_1269;medfact_bench_1270;medfact_bench_1271;medfact_bench_1272,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0074,2,1,medfact_bench_1273;medfact_bench_1274,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0075,2,3,medfact_bench_127;medfact_bench_128,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0076,2,4,medfact_bench_1284;medfact_bench_1285,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0077,2,1,medfact_bench_13;medfact_bench_14,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0078,1,1,medfact_bench_130,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0079,1,3,medfact_bench_131,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0080,2,1,medfact_bench_132;medfact_bench_133,scifact,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0081,1,1,medfact_bench_1321,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0082,4,4,medfact_bench_1329;medfact_bench_1330;medfact_bench_1332;medfact_bench_1333,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0083,1,0,medfact_bench_193,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0084,1,3,medfact_bench_1941,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0085,1,0,medfact_bench_197,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0086,1,4,medfact_bench_209,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0087,1,3,medfact_bench_210,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0088,1,0,medfact_bench_211,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0089,5,0,medfact_bench_213;medfact_bench_214;medfact_bench_215;medfact_bench_216;medfact_bench_217,scifact,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0090,1,4,medfact_bench_218,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0091,1,3,medfact_bench_220,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0092,1,3,medfact_bench_222,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0093,1,1,medfact_bench_229,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0094,1,0,medfact_bench_23,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0095,1,4,medfact_bench_243,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0096,1,2,medfact_bench_248,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0097,3,0,medfact_bench_250;medfact_bench_251;medfact_bench_252,scifact,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0098,1,2,medfact_bench_253,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0099,1,2,medfact_bench_255,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0100,1,2,medfact_bench_258,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0101,1,0,medfact_bench_264,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0102,1,1,medfact_bench_266,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0103,1,3,medfact_bench_269,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0104,1,2,medfact_bench_270,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0105,1,4,medfact_bench_271,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0106,1,3,medfact_bench_28,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0107,1,4,medfact_bench_291,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0108,1,4,medfact_bench_294,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0109,1,2,medfact_bench_301,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0110,1,4,medfact_bench_316,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0111,1,1,medfact_bench_319,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0112,1,3,medfact_bench_322,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0113,1,4,medfact_bench_324,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0114,1,4,medfact_bench_327,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0115,1,4,medfact_bench_331,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0116,1,0,medfact_bench_336,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0117,4,0,medfact_bench_341;medfact_bench_342;medfact_bench_343;medfact_bench_344,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0118,2,0,medfact_bench_351;medfact_bench_353,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0119,5,4,medfact_bench_361;medfact_bench_362;medfact_bench_363;medfact_bench_364;medfact_bench_365,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0120,1,1,medfact_bench_39,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0121,1,2,medfact_bench_44,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0122,3,0,medfact_bench_481;medfact_bench_482;medfact_bench_483,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0123,1,2,medfact_bench_49,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0124,1,2,medfact_bench_50,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0125,1,1,medfact_bench_51,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0126,2,0,medfact_bench_525;medfact_bench_526,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0127,1,1,medfact_bench_54,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0128,5,0,medfact_bench_394;medfact_bench_395;medfact_bench_396;medfact_bench_541;medfact_bench_542,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0129,1,4,medfact_bench_56,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0130,2,0,medfact_bench_585;medfact_bench_586,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0131,1,4,medfact_bench_138,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0132,1,4,medfact_bench_1380,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0133,1,0,medfact_bench_139,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0134,1,3,medfact_bench_1403,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0135,1,0,medfact_bench_141,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0136,1,1,medfact_bench_1411,medaesqa,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0137,1,2,medfact_bench_142,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0138,1,4,medfact_bench_144,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0139,2,2,medfact_bench_1461;medfact_bench_1465,medaesqa,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0140,3,4,medfact_bench_1480;medfact_bench_1481;medfact_bench_1482,medaesqa,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
