annotation_id,claim_id,dataset,gold_label,claim_sha256,path_text,relations,path_type,evidence_tier,claim_predicate_families,kg_relation_family,predicate_aligned,endpoint_aligned,path_score,entity_pair_key,claim_cluster_id,duplicate_group_size,path_relevance,evidence_role,error_type,semantic_relation_remapped,actionability
eswa_0012,pubhealth_test_793,pubhealth,REFUTE,cf4dcdf1cc8a085b4aae42e32130d55eee55423dea044222bb3354f7b81d6e75,heart --upregulates--> CLOCK,upregulates,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0000948||Gene::9575,claim_c7fd3fd87e,1,IRRELEVANT,UNKNOWN,ENTITY_LINKING,false,NON_ACTIONABLE
eswa_0013,pubhealth_test_1124,pubhealth,SUPPORT,a9cb9d23df1f20500993dd5bb0ca7797c17463ba53b6a6a36479f55dc78ce02b,cardiovascular system --expresses--> F11R,expresses,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0004535||Gene::50848,claim_34a57fcbce,1,IRRELEVANT,UNKNOWN,ENTITY_LINKING,false,NON_ACTIONABLE
eswa_0014,pubhealth_train_1208,pubhealth,SUPPORT,9af248dbaaa225a9dcb14cd85f1fd4298bfb1ccfd0c352024eee932a0698459b,obesity --presents--> Pediatric Obesity,presents,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,PRESENTS,FALSE,TRUE,0.6675,Disease::DOID:9970||Symptom::D063766,claim_874e953fd1,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0015,pubhealth_validation_597,pubhealth,UNCERTAIN,a78838de75a73b3f5b04816bda18ba4d36170f80f0e6724efee9ce415f359c0d,psoriasis --resembles--> psoriatic arthritis,resembles,1-hop,DIRECT_PREDICATE_MISMATCH,PRESENTS,CONTEXT_ONLY,FALSE,TRUE,0.4675,Disease::DOID:8893||Disease::DOID:9008,claim_667c758c2e,1,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0016,pubhealth_test_317,pubhealth,UNCERTAIN,3b640c1c8767e48f3dd6ddc470c62144aaf04ffcbb2a19039785264c477095f6,coronary artery disease --localizes--> heart,localizes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Anatomy::UBERON:0000948||Disease::DOID:3393,claim_0a501ce8f8,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0017,medfact_bench_185,scifact,REFUTE,b1c90d8f755c8d7c10c85f3c72b10d221e729739f05689a45e08e913b31b6366,malaria --treats--> Artemisinin,treats,1-hop,DIRECT_PREDICATE_MATCH,TREATS,TREATS,TRUE,TRUE,0.9175,Compound::DB13132||PrimeKG::Disease::MONDO:5136,claim_de3db3a8f8,1,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,false,ACTIONABLE
eswa_0018,medfact_bench_12,scifact,REFUTE,3302315065db282a5a26c69859b6e9b5549da1b69ff085989ce142f55a0241f1,PRKAA2 --targets--> Adenosine phosphate,targets,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,TARGETS,FALSE,TRUE,0.6675,Compound::DB00131||Gene::5563,claim_8148d6da10,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0019,medfact_bench_126,scifact,SUPPORT,c93e2da0c3bcac139511cc24fdfb5e847e8efac8bfe375a6fcd840710caa83d0,tropical spastic paraparesis --presents--> Myelopathy,presents,1-hop,DIRECT_PREDICATE_MISMATCH,ASSOCIATES,PRESENTS,FALSE,TRUE,0.6675,PrimeKG::Disease::MONDO:8039||PrimeKG::Symptom::HPO:2196,claim_4deebfc0f9,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0020,medfact_bench_257,scifact,SUPPORT,f1bd1c9fabb2d0274dddc03b596ecb0e8f49d86511c2381fdea5f93d7aab4f83,Sildenafil --causes--> Sexual dysfunction,causes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CAUSES,FALSE,TRUE,0.6675,Compound::DB00203||Side Effect::C0549622,claim_b8e28c54ca,1,PARTIAL,REFUTE,POLARITY,false,ACTIONABLE
eswa_0021,medfact_bench_160,scifact,UNCERTAIN,be891e6b897e217b26935b5af1fb5c4b1bcf46f1c03b73c37ed2c1627f3dfc79,INS --associates--> kidney failure,associates,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,ASSOCIATES,FALSE,TRUE,0.6675,Gene::3630||PrimeKG::Disease::MONDO:1106,claim_fc963599fa,1,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0022,medfact_bench_212,scifact,UNCERTAIN,6ea199d5a1ec7db29eeaa8e48edbc26cfe82cda2be5be91839b7ead6cb6e52f3,obesity --presents--> Obesity,presents,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,PRESENTS,FALSE,TRUE,0.6675,Disease::DOID:9970||Symptom::D009765,claim_d9869e9f23,1,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0023,medfact_bench_427,healthver,REFUTE,f524691c2f164d5c06e52a4b47eb67ff207639578825caa0d56bc2c48ccda87e,Nicotine --includes--> Nicotine,includes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Compound::DB00184||Pharmacologic Class::N0000006496,claim_9b418214c9,2,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0024,medfact_bench_1072,healthver,SUPPORT,03506dc6e15832eaf975065b9a5f791f3b367a40931d6fb4862c89041c73c873,Ibuprofen --causes--> Swelling,causes,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS;PRESENTS;ASSOCIATES,CAUSES,FALSE,TRUE,0.6675,Compound::DB01050||Side Effect::C0038999,claim_7444a298c2,3,PARTIAL,CONTEXT_ONLY,POLARITY,false,NON_ACTIONABLE
eswa_0025,medfact_bench_1153,healthver,SUPPORT,8a5afaa105d7c82bdf11ff55502dbea6bbc6bff7da5ac2bebbca0b8ef44c4eaf,Nicotine --includes--> Nicotine,includes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Compound::DB00184||Pharmacologic Class::N0000006496,claim_fd447bcc80,3,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0026,medfact_bench_882,healthver,UNCERTAIN,67a4082b89c308e8ae49853eb66271b2b0d91c9f1a96228206ce58ca3d1e510e,heart --expresses--> MAGEE1,expresses,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0000948||Gene::57692,claim_9e9a160b92,1,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0027,medfact_bench_355,healthver,UNCERTAIN,c4619bf818ebbc0d98e3d4ffbace74c62734ed22729095c9ab0f4aa49cd4d1d3,Acetaminophen --adverse_event_context--> Fever,adverse_event_context,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CAUSES,FALSE,TRUE,0.6675,Compound::DB00316||PrimeKG::Symptom::HPO:1945,claim_8b8f258dad,1,PARTIAL,CONTEXT_ONLY,POLARITY,true,NON_ACTIONABLE
eswa_0028,medfact_bench_1622,medaesqa,SUPPORT,dee8d90730f199ab96eff5e669ea6c63c23cbd69d54b7761ee94c132e68413d3,RUNX2 --associates--> cleidocranial dysplasia,associates,1-hop,DIRECT_PREDICATE_MATCH,ASSOCIATES,ASSOCIATES,TRUE,TRUE,0.9175,Gene::860||PrimeKG::Disease::MONDO:7340,claim_a3714f8b1e,3,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,false,ACTIONABLE
eswa_0029,medfact_bench_1607,medaesqa,SUPPORT,1cffd194fe8c03c84c6122f918d3648b501907afaa7cbe521633a9ea1520ccce,RUNX2 --participates--> cartilage development,participates,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,CONTEXT_ONLY,FALSE,TRUE,0.4675,Biological Process::GO:0051216||Gene::860,claim_397ef6320d,2,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,false,ACTIONABLE
eswa_0030,medfact_bench_1626,medaesqa,SUPPORT,7fe2fdd95c35262017627de774a2f0cf56af15b94a440ca7f8f501a4a2a5cf6a,skull --expresses--> RUNX2,expresses,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0003129||Gene::860,claim_4ce83e423d,3,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,false,NON_ACTIONABLE
eswa_0031,medfact_bench_1725,medaesqa,UNCERTAIN,9eadced95ff634b3e7895e62db3ced3533aa0c6e5e08c358d9b9cf34e99973fc,lung --expresses--> RUNX2,expresses,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES;ASSOCIATES,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0002048||Gene::860,claim_e747f23859,2,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0032,medfact_bench_1988,medaesqa,UNCERTAIN,ec82eab3102c89dba8f358ed8bfe4f371b93b94ae4ae6a3949c8207dc2dd47bd,Roflumilast --treats--> chronic obstructive pulmonary disease,treats,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,TREATS,FALSE,TRUE,0.6675,Compound::DB01656||Disease::DOID:3083,claim_e682fbcd42,4,RELEVANT,SUPPORT,NONE,false,ACTIONABLE
eswa_0033,pubhealth_train_766,pubhealth,REFUTE,3c47cac60bb9a30d75d4d7da3ad5da8656c63a1ad228ae4a231a228df4f28ab9,osteoporosis --presents--> Osteoporosis,presents,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS,PRESENTS,FALSE,TRUE,0.6675,PrimeKG::Disease::MONDO:5298||PrimeKG::Symptom::HPO:939,claim_001f8da441,1,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0034,pubhealth_train_446,pubhealth,REFUTE,679a610df85cec192897075edd14a1570d7f9ff366585095ca1551c61c148e45,prostate cancer --localizes--> urine,localizes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Anatomy::UBERON:0001088||Disease::DOID:10283,claim_b93a142183,1,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0035,pubhealth_train_1829,pubhealth,SUPPORT,2638b5eeca8370d3dd12d8e51c452891ede2e6b462adbfde0265fd94b71fb1ab,obesity --localizes--> adipose tissue,localizes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Anatomy::UBERON:0001013||Disease::DOID:9970,claim_d9f1599eb3,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0036,pubhealth_train_1327,pubhealth,UNCERTAIN,750b96936ade8f4da6c46769acd7e03608e8c7f9e3e847ed3e103e75f2c9ee40,brain --expresses--> MAGEE1,expresses,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0000955||Gene::57692,claim_afe6a7f5f9,1,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0037,pubhealth_test_786,pubhealth,UNCERTAIN,653ed76d9ca26a7a68ddfdb724b48c46c6b8cf532f105d0c96b799dcfb25d762,osteoporosis --presents--> Osteoporosis,presents,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,PRESENTS,FALSE,TRUE,0.6675,PrimeKG::Disease::MONDO:5298||PrimeKG::Symptom::HPO:939,claim_a47acb7605,1,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0038,medfact_bench_185,scifact,REFUTE,b1c90d8f755c8d7c10c85f3c72b10d221e729739f05689a45e08e913b31b6366,Artemisinin --treats--> malaria,treats,1-hop,DIRECT_PREDICATE_MATCH,TREATS,TREATS,TRUE,TRUE,0.9175,Compound::DB13132||PrimeKG::Disease::MONDO:5136,claim_de3db3a8f8,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0039,medfact_bench_12,scifact,REFUTE,3302315065db282a5a26c69859b6e9b5549da1b69ff085989ce142f55a0241f1,lung --downregulates--> PRKAA2,downregulates,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0002048||Gene::5563,claim_8148d6da10,1,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0040,medfact_bench_126,scifact,SUPPORT,c93e2da0c3bcac139511cc24fdfb5e847e8efac8bfe375a6fcd840710caa83d0,Myelopathy --presents--> tropical spastic paraparesis,presents,1-hop,DIRECT_PREDICATE_MISMATCH,ASSOCIATES,PRESENTS,FALSE,TRUE,0.6675,PrimeKG::Disease::MONDO:8039||PrimeKG::Symptom::HPO:2196,claim_4deebfc0f9,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0041,medfact_bench_16,scifact,SUPPORT,37faf49fd9befbc234ab9c1dd54e9813a5cbc46ec6a47405783546c1ed4cb97f,TP53 --interacts--> PPM1D,interacts,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,INTERACTS,FALSE,TRUE,0.6675,Gene::7157||Gene::8493,claim_0cfe202b73,1,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0042,medfact_bench_160,scifact,UNCERTAIN,be891e6b897e217b26935b5af1fb5c4b1bcf46f1c03b73c37ed2c1627f3dfc79,kidney failure --associates--> INS,associates,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,ASSOCIATES,FALSE,TRUE,0.6675,Gene::3630||PrimeKG::Disease::MONDO:1106,claim_fc963599fa,1,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,false,NON_ACTIONABLE
eswa_0043,medfact_bench_55,scifact,UNCERTAIN,ec3c814a8a507f091112c81cc1859b17bd7fb1dec3595f40161851eac80bc8dd,artery --expresses--> CRP,expresses,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0001637||Gene::1401,claim_337c19043a,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0044,medfact_bench_1143,healthver,REFUTE,840e828efdaa953645f64572796535d36d0131889298b12870cf65c523416e1d,Acetaminophen --adverse_event_context--> Fever,adverse_event_context,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CAUSES,FALSE,TRUE,0.6675,Compound::DB00316||PrimeKG::Symptom::HPO:1945,claim_e5c41b4984,2,PARTIAL,CONTEXT_ONLY,POLARITY,true,NON_ACTIONABLE
eswa_0045,medfact_bench_810,healthver,SUPPORT,5bb32344e167f2ea28a891d47baebcc5cffe091659dcc4d68a2ce0fc5a7a3d09,Nicotine --includes--> Nicotine,includes,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS,CONTEXT_ONLY,FALSE,TRUE,0.4675,Compound::DB00184||Pharmacologic Class::N0000006496,claim_c11c618f61,2,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0046,medfact_bench_1151,healthver,SUPPORT,8a5afaa105d7c82bdf11ff55502dbea6bbc6bff7da5ac2bebbca0b8ef44c4eaf,Nicotine --includes--> Nicotine,includes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Compound::DB00184||Pharmacologic Class::N0000006496,claim_fd447bcc80,3,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0047,medfact_bench_727,healthver,UNCERTAIN,46e34c0d539be2df4ed5dd0c6d57fbff8f3d34c993a3de50cc159ed52cd16fc7,Nicotine --includes--> Nicotine,includes,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS,CONTEXT_ONLY,FALSE,TRUE,0.4675,Compound::DB00184||Pharmacologic Class::N0000006496,claim_da74be9318,1,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0048,medfact_bench_742,healthver,UNCERTAIN,5d28afb7481aeda1c4737135706479230296e583d594240d400b720020fb8b85,obesity --presents--> Obesity,presents,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,PRESENTS,FALSE,TRUE,0.6675,Disease::DOID:9970||Symptom::D009765,claim_afca56b014,2,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0049,medfact_bench_1306,medaesqa,SUPPORT,fd85aab8d5241d8f5a18edf4488fda01e578ea2c6cc2f13782d6d4f22cdb9628,obesity --presents--> Obesity,presents,1-hop,DIRECT_PREDICATE_MATCH,PRESENTS,PRESENTS,TRUE,TRUE,0.9175,Disease::DOID:9970||Symptom::D009765,claim_04196f1e2f,2,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0050,medfact_bench_1761,medaesqa,SUPPORT,aeca6697fdc0269af6adba1f59ca1760a65e5963f5a6611509e192a326954ff2,RUNX2 --interacts--> RB1,interacts,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES;ASSOCIATES,INTERACTS,FALSE,TRUE,0.6675,Gene::5925||Gene::860,claim_fd966df45e,8,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0051,medfact_bench_1686,medaesqa,SUPPORT,6050c6007f1c36b5d808e946e445982e16310d95f008a4eb90b157800f51e132,RUNX2 --participates--> cell activation,participates,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Biological Process::GO:0001775||Gene::860,claim_e7d6c22680,1,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,false,ACTIONABLE
eswa_0052,medfact_bench_1595,medaesqa,UNCERTAIN,92df53c89a9ba53d31db7d1508e3660ce576ae368e885c961134a2e843b3e1db,cleidocranial dysplasia --presents--> Short stature,presents,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,PRESENTS,FALSE,TRUE,0.6675,PrimeKG::Disease::MONDO:7340||PrimeKG::Symptom::HPO:4322,claim_88abd29670,1,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,false,ACTIONABLE
eswa_0053,pubhealth_train_260,pubhealth,REFUTE,1ac4cb3bc5b9a0cac3830c4bfd57198c2fda05dfad9e09611ad9df62b51bb9c9,osteoarthritis --localizes--> knee,localizes,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS,CONTEXT_ONLY,FALSE,TRUE,0.4675,Anatomy::UBERON:0001465||Disease::DOID:8398,claim_8ca3e15592,1,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0054,pubhealth_test_793,pubhealth,REFUTE,cf4dcdf1cc8a085b4aae42e32130d55eee55423dea044222bb3354f7b81d6e75,heart --expresses--> CLOCK,expresses,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0000948||Gene::9575,claim_c7fd3fd87e,1,IRRELEVANT,UNKNOWN,ENTITY_LINKING,false,NON_ACTIONABLE
eswa_0055,pubhealth_train_238,pubhealth,SUPPORT,f26b14d13b6103b77fa49e079d8b4d34474b53626bac78b865890e44f83071ff,lung --expresses--> LARGE,expresses,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0002048||Gene::9215,claim_9c1468f85c,1,IRRELEVANT,UNKNOWN,ENTITY_LINKING,false,NON_ACTIONABLE
eswa_0056,pubhealth_train_1499,pubhealth,UNCERTAIN,10840de5bbb740ba6fcd466d18a314318db4a7ad0b18661e45f6c5e7b54782b7,lung cancer --localizes--> lung,localizes,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS,CONTEXT_ONLY,FALSE,TRUE,0.4675,Anatomy::UBERON:0002048||Disease::DOID:1324,claim_eeddf9c48d,1,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0057,pubhealth_train_1927,pubhealth,UNCERTAIN,11c5d3db61c074bff0fdbee17d914ca2f75efd196d999a64c21fa678b2e31aac,prostate cancer --associates--> KLK3,associates,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,ASSOCIATES,FALSE,TRUE,0.6675,Disease::DOID:10283||Gene::354,claim_ffa83b7fd0,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0058,medfact_bench_213,scifact,REFUTE,8c6e0029144db00c95dbad301074ea503fb47a026fbf78e78cae4184984a6123,obesity --presents--> Obesity,presents,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,PRESENTS,FALSE,TRUE,0.6675,Disease::DOID:9970||Symptom::D009765,claim_986103c741,4,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
