audit_order,id,pubid,raw_label,mapped_label,question_sha256,converted_claim_sha256,annotator_a_claim_faithfulness,annotator_b_claim_faithfulness,final_claim_faithfulness,annotator_a_atomicity,annotator_b_atomicity,final_atomicity,annotator_a_label_compatibility,annotator_b_label_compatibility,final_label_compatibility,annotator_a_pico_preservation,annotator_b_pico_preservation,final_pico_preservation,annotator_a_modality_strength,annotator_b_modality_strength,final_modality_strength,disagreement_fields
13,pubmedqa_27078715,27078715,yes,SUPPORT,61a41f05eccf71da0d6859b936727daf4dd4397175c622fbfd121d99c77a7e69,e8b474055a44091ab1e476a1b506118e2157f9f88c247193461f6b7da0b902b4,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
14,pubmedqa_20337202,20337202,maybe,UNCERTAIN,3d0b69e8fc45ab7bfe6d73cf332eb0318e2f415aa444ed43e25914839399d6f1,7f463ea93e299e788d7fef130da67f1a234045815315f2a003d2c0a386c80802,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
15,pubmedqa_24591144,24591144,maybe,UNCERTAIN,333d7f4f955a282bfcaf294cdee72adea3fc13745cabbc925a76d11895ac6f4f,7ec0d398253eb7091d7413920def6f43e79adb40d4d84e6a703fb349a65adde4,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
16,pubmedqa_14627582,14627582,no,REFUTE,a3710dfd85571c2188734994a9d3f554f27ac8d008bb2b9aa856d787c751d9da,5fe6e692a1c527c862f71b066f668bd85854b30ed2f8e922db4bfc69932e8cda,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
17,pubmedqa_25371231,25371231,maybe,UNCERTAIN,acfe1fd4bc4f238afce921506f8532137f63ca0f42ed2549e102bbda8f439dd4,f6e63b75ed0d4c01d4824dad21ea1f33399753685461b16d294c9b9e315f0760,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,label_compatibility
18,pubmedqa_25987398,25987398,maybe,UNCERTAIN,131957ddb690b3068771c6a4eb38648384034a027da1d2229dc71d501a4187a4,5180b4447527aaccb9fdce48f37084c7c89a69412b0ff9e4ea2732c5969e9612,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
19,pubmedqa_28011794,28011794,maybe,UNCERTAIN,e6e427ed6773733cfdc56e56659be0208fb867de9eacdb151061be272b0cc79e,03747ff16b86f3cd6eb338b1e645f21a19e0de5fcf370bf0a806e9b724f4f53c,VALID,VALID,VALID,NON_ATOMIC,NON_ATOMIC,NON_ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
20,pubmedqa_26383908,26383908,yes,SUPPORT,5fb6df03a8a8e5bec693bc109889ab4e74a6111c8aa6bac5bcd2fc1630892a7b,f2055773894f1437411c70274ecd2a4fde09851d7541fff1a7d6ac465e30670a,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
21,pubmedqa_18019905,18019905,no,REFUTE,ed011b9e2b720dc47868cf66d7e90ca3b9cca4efbf1c36420805069e7c532595,bb93f8c6070179da0e86e1ccc0f27f0bff48b4cc6b1c3d922a8beadc221d7024,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
22,pubmedqa_16392897,16392897,maybe,UNCERTAIN,11eb8487e6dda8ee6f3aeb24523badc63e4fb3e3d4038d1d6e911af42a7fa044,55eccf774e814a1975f04a6bed5708787db743197fab3c45d876afe2b935a3f1,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
23,pubmedqa_16249670,16249670,no,REFUTE,c4f339e84a790a19b2b594b009fa20f6d8b07ffef3871e5a4103462caf4779f9,4e1dda29926a237ffaf71df12cdf99d5e3af787daca2e92d08d264bc59fae1f8,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
24,pubmedqa_22519710,22519710,no,REFUTE,7bb8de3aea59e6e4772478c2d683c7ec9ed834eb1578159f78735c97ad1d4621,5a44e135f4051790e61eb2b105d02ba26fdec465420922651a356f8c6d5cf05e,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
25,pubmedqa_12607120,12607120,no,REFUTE,434e97c898c524a75b3ff3a919bd7d774c9cb41837b7defd8a61c956784f7542,e353b9a255d604ffbc11d457c6b63e9e73e8f468a8ca2095e2717c24d964a643,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
26,pubmedqa_27908583,27908583,yes,SUPPORT,337980126213c7a6abc32ca28bbdb00fcee28350b5914ad6e51980fcd4fae371,6daf6dab1924079ac1ff7e10db3165b6fb0362e66dc0b8b70aac4eeb007fa434,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
27,pubmedqa_18179827,18179827,yes,SUPPORT,bb25a69548da87425e32725ae755792b91718c7da403c8cfce27cb39d6c714f1,6e9cd2310010c9934f7255a568a3f1f33aa30a9e47b972e31b1d71f8062d0c33,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,COMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,label_compatibility
28,pubmedqa_23792130,23792130,yes,SUPPORT,aef93a7922045065ae262315d4d59809fb9fc7972ee5c455493064c9d8079404,11597722d88b9e898d6f4cff9750d4edcdc19aa68b3ca69e2ff569d36f1a3448,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
29,pubmedqa_20197761,20197761,maybe,UNCERTAIN,86fa83bef6614f490665bf2043bca93b76caed5485eae5c7bf50f13b4cf53a77,d55a1fceb7343873e41d12a32c0b1ee6e9710b7c35e32af47f1ab094e4b93977,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
30,pubmedqa_17445978,17445978,no,REFUTE,aa794b30353e346b68870f28d705c7520055526cf82ba67133353c56f4c20bd0,bdcb7aec7cf7bedecab00a3e62c8409c72c7fa1e114554390fcde6e509cf55f5,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
31,pubmedqa_17462393,17462393,no,REFUTE,d6bcc06e34efdf9726571cd4f7ab5d235f8a19dc80f831239e257b2059e35b65,40d94853a165d623262d702a33d538b113a9fba8766bf321c0eeac0d01b407eb,VALID,VALID,VALID,NON_ATOMIC,NON_ATOMIC,NON_ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
32,pubmedqa_11570976,11570976,maybe,UNCERTAIN,7d4cb212011a3414eb180fa541379864bed9f7c9cd14b6e115a0ee39edc2eeb9,f8695280d7ad45d3be2b019ddf7378d3d5f614cbbb84a6b591a8e6125d49c553,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,label_compatibility
33,pubmedqa_22537902,22537902,no,REFUTE,17b6d621b3688427090bcf5a37bbfcb282cb54f7930014a4434973943f4f9e95,e50922ec24771c3286e7c8773abbec5fa9161988ca8f79aa88cf02668648de9d,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
34,pubmedqa_14551704,14551704,yes,SUPPORT,94ffafac56182bd65f95b3e05b1ecfc779a96ae41e11de7ace2131f3afc7b7db,24483dbada386db5ef76d267c2af0c9be6780b193c57d4b61a19bf8eae863209,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
35,pubmedqa_19106867,19106867,yes,SUPPORT,24b4bf19e1ea731c21025186c751c4c14addd3cec1f59a41552f46ddc111b006,adfeab86e38c62a9895d9392a6bb75a74e984c3612c4a1bc0d7d9d081738cf46,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
36,pubmedqa_18534072,18534072,no,REFUTE,8156fbbdd549a9973735520f3e27597f60590d746059cf488e19853778e0e1d2,5253d11e1b9a5d4a5656549e3ac82e36a87be7266d3f426f1f5b9d8f2f8bda46,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
37,pubmedqa_19054501,19054501,yes,SUPPORT,e7bed521c2927135bed167fbfb617709a7483c3165e8175ee1ba8a4ccb1b90d7,57f829d4133f8731c26d5906dcaa1e821eb3ff9ad744f82616b78ad577b1205d,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
38,pubmedqa_8017535,8017535,yes,SUPPORT,474c280841f083940f1a5fae10c6a70d58e251bbce6ab087d31bb72be0b8cb59,2c73c51b1065492c6d4fc60cfa35e65f565e8683534a9774009fbab0ca070353,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
39,pubmedqa_22411435,22411435,yes,SUPPORT,f62772fed7dc57a4a53a46a8bc4aaec3166e867cda63616ac5bfca67068ab3a1,fcd8e22a685b493be00a3105c1a08238e307fecec793c6541a087987414f3dec,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
40,pubmedqa_17208539,17208539,no,REFUTE,c3b64ab3b763c568aea6c02a3810582bf0983218d4e72bc8334dacd66599f627,015818ed15ef065c8c486ad3cd32e8b8feeb5e07d431433cd368a27017a5d5ea,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
41,pubmedqa_19608436,19608436,yes,SUPPORT,53af6419c9b08bc73fd190d76be0c4bde92011cef8630f76fb41c56eca27b2d5,9288f9cf0a302e1deba3d66a2d3563c5977be30d0cd330166c3208d6eb9d886c,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
42,pubmedqa_19468282,19468282,maybe,UNCERTAIN,d3e8900c39fd0f19ee71479f9454e6db8e9fb2682286b6af681c15493820e14e,d7c432b40fd1a3740ce6f7ed016556b1dc1ed63364043c60c51394ad9be0308d,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
43,pubmedqa_12006913,12006913,no,REFUTE,eb11492661a71576eee27264bc70716b95b917c461c104e369eb91fbcd88feea,19b7e63c1fbafbc949703dfaa165d91e4ba114021098085f93d6e57511f3a5e9,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
44,pubmedqa_19481382,19481382,no,REFUTE,7523b5e882f4ff8d9bb844c1db16d77fc0862159b31c6056d3f8ab72c90f8bb5,6d0768c7ecaebbe0064668e5e0525f5ba5fae9325563275d9c7bd33b88a540ed,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
45,pubmedqa_11296674,11296674,maybe,UNCERTAIN,d6954a9b3551ff8749b9c32c0e8146af301175bcbb6059cc457e367581db7a24,3e90677d1f539dd9423ff685caa65b503a5f1bbb88d13a6d2f72be26a2778292,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
46,pubmedqa_8566975,8566975,no,REFUTE,adf7b4177ae63ea99838cecb348b520ce149ffb18ac2dfd7e9f4dbce6e5d0776,4366d9a0f76543b267e6c392667d09adf6b54f455b4f288925634708ef916851,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
47,pubmedqa_12172698,12172698,yes,SUPPORT,731ff09ffb225e3e0c49d5419aaf6486def06acaa7075cfd91fd9cf1e69e0264,605c4ac417043aeb9795008415eaa198bfc8dd5f758ce47f31a64a5114e94b61,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
48,pubmedqa_24577079,24577079,no,REFUTE,650ebdcf966395557b606b6c04ff8419f5b1716194b9245b3d46e1d440564dde,e71aa8582f1e88d05042cb5d57fd1bf419cc1909424fed3151aadb5d28e75a64,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
49,pubmedqa_17559449,17559449,no,REFUTE,0bbe328564b90586238e80a720a65fc028ae04d6ccdc930045c9786907cbc60b,86b3aa2f6dcb074d34d5b271a88afcb42219464df3d833dcb2933567b1077671,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
50,pubmedqa_19640728,19640728,yes,SUPPORT,435c1ba34a43690ad07f94677227a1da28f39fc068f631f8be5408b4756e21a1,e3ceea46f5cd5574788ce60ee395a56b14227f3cc3b8ef966853cf68b4e50f59,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,COMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,label_compatibility
51,pubmedqa_22117569,22117569,yes,SUPPORT,4f29b909cea5c14f5d5ee12e4466f09dac1f1e1ba7a51c36cc0b61309d2364b4,3f2cc38b2f35aaa3d091e796f9dd8233766f6f58311bc760b7bd62f006599ed5,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
52,pubmedqa_26778755,26778755,maybe,UNCERTAIN,4fae8e2ff68ffef7d98f6077e6258da279f5b49776c3a3dc9ed95f542f3e7991,af5db81cf396e2d42d18cd73ded8b1a758cfe8f09278b68538e4554fb6d98715,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
53,pubmedqa_23455575,23455575,no,REFUTE,c32f671cee0002253a85702f9a3965027e3d769ef500a0c7667c697bc1731481,e1d7ed94a30f1b126afd4ee36bec842de7771cb20cb3934dd40ee13c4fc1a90d,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
54,pubmedqa_27184293,27184293,maybe,UNCERTAIN,4e5dc37f9698491b86ca576014e36d6e982fa77571820cef081f35722e167f07,b16475186d6ae34226f316f7f4f72c287b3ff5e42e36bf20ae53326d914fbfa4,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
55,pubmedqa_8910148,8910148,yes,SUPPORT,aabb613724d264e931810bcb8b4f685540df62ac4422261952ea378249779be7,073fb09b94e91ae8eb47a662fa8c87324821cfd3473cdacced8708cdac7c4e05,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
56,pubmedqa_15687156,15687156,no,REFUTE,9a29bc75e3754b24a8d0e1bed7b10b271f379ceb8d962f817adc02d2ae877253,003f3252a2aa64d36f4156a1308f25eb777a72d84702b6eec27e09caf9e0c0c6,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
57,pubmedqa_24183388,24183388,maybe,UNCERTAIN,bf82dcf85147a38ca1936bf7289a8326f3cb17e39065b6e52d38607e69e3e366,92f531f07f8a5512c7b599d1df59131a0365fc3587b5ab2850bdad6cace901eb,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
58,pubmedqa_11411430,11411430,maybe,UNCERTAIN,dbf925bfbbc8f3485852b24bbc4caf84699b3e30ee85b188580c8d041b7e445a,cfbd979f8a369ca8b62556f30f8840b1b593ae4da1df9c130800f4e6397e995e,VALID,VALID,VALID,NON_ATOMIC,NON_ATOMIC,NON_ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
59,pubmedqa_17916877,17916877,yes,SUPPORT,f5f29c0a04846531198cb4e05b35af65cd6984b5e278536ba4caee1769fa1642,16d5915874ce67918fdd7f66112a2469c506807a9a1e600aec39f66aec8a2c9f,VALID,VALID,VALID,NON_ATOMIC,NON_ATOMIC,NON_ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
60,pubmedqa_10340286,10340286,maybe,UNCERTAIN,5f15f29f063122fa2190d6bc3b6fc2632443aec84c4157a64e0f0a3775e02f10,37eb2b3ddfcc8de0708d62c63206a921b8083669091005f0f62481ca9b5c2a06,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
